iter	RMSE
0	183252.1877
1	175084.4358
2	168089.9653
3	162104.7836
4	156956.1271
5	152633.5655
6	148949.5936
7	145741.5887
8	143022.5703
9	140169.5371
10	138084.5191
11	136113.978
12	134494.0199
13	133173.5379
14	131670.118
15	130344.4661
16	129171.4285
17	128136.4413
18	126970.2956
19	126097.1697
20	125447.7834
21	124740.605
22	124119.8542
23	123605.2532
24	123138.7037
25	122696.0785
26	122257.3917
27	121899.4169
28	121549.6024
29	121038.851
30	120680.6332
31	120446.6453
32	120176.9193
33	119837.8665
34	119651.2354
35	119369.3493
36	119212.3437
37	119050.4592
38	118882.8997
39	118676.4447
40	118457.2629
41	118272.0543
42	118080.4871
43	117925.4764
44	117779.9721
45	117608.6006
46	117474.5551
47	117348.3509
48	117182.8639
49	117028.3661
50	116936.5124
51	116809.9207
52	116710.4927
53	116581.2651
54	116501.9994
55	116419.1981
56	116352.7496
57	116255.5531
58	116159.5434
59	116055.9267
60	116001.8586
61	115892.4452
62	115824.4807
63	115744.6686
64	115672.7081
65	115594.9671
66	115472.8759
67	115391.5529
68	115347.424
69	115313.886
70	115251.5658
71	115194.3949
72	115139.8125
73	115078.8794
74	115009.3413
75	114934.4868
76	114887.3166
77	114807.826
78	114754.2741
79	114714.7378
80	114679.7712
81	114611.6035
82	114552.1409
83	114522.4494
84	114458.9655
85	114360.7111
86	114303.6062
87	114266.9429
88	114228.1735
89	114178.7387
90	114145.3016
91	114087.3394
92	114034.9311
93	114030.2005
94	114002.8503
95	113968.5995
96	113931.6159
97	113930.6653
98	113904.761
99	113867.3098
