iter	Passed	Remaining
0	7	739
1	13	668
2	20	650
3	26	636
4	32	621
5	38	608
6	45	598
7	51	590
8	57	578
9	63	572
10	69	565
11	107	790
12	113	761
13	119	735
14	125	710
15	131	692
16	138	678
17	144	659
18	150	643
19	156	627
20	163	613
21	169	599
22	175	586
23	180	573
24	187	561
25	193	549
26	198	537
27	204	526
28	210	516
29	216	505
30	222	495
31	228	485
32	235	477
33	241	468
34	247	459
35	253	451
36	260	444
37	267	437
38	275	430
39	284	426
40	290	418
41	297	410
42	303	402
43	310	394
44	317	387
45	323	379
46	329	371
47	335	363
48	341	355
49	347	347
50	353	339
51	359	331
52	365	323
53	371	316
54	376	308
55	383	300
56	388	293
57	394	285
58	401	278
59	406	271
60	414	265
61	421	258
62	428	251
63	434	244
64	440	237
65	447	230
66	453	223
67	460	216
68	466	209
69	472	202
70	478	195
71	485	188
72	491	181
73	498	175
74	504	168
75	511	161
76	517	154
77	523	147
78	529	140
79	536	134
80	544	127
81	552	121
82	559	114
83	566	107
84	572	101
85	579	94
86	585	87
87	592	80
88	599	74
89	605	67
90	611	60
91	617	53
92	623	46
93	626	40
94	632	33
95	639	26
96	645	19
97	648	13
98	654	6
99	660	0
