iter	RMSE
0	183867.0119
1	176116.6111
2	169568.3855
3	164063.6362
4	159468.7083
5	155530.493
6	152270.3993
7	149301.2713
8	146846.8771
9	144652.5578
10	142587.1733
11	140868.2141
12	139273.6813
13	138052.4507
14	136687.2015
15	135337.815
16	134205.8136
17	132997.4422
18	132024.0288
19	131231.0946
20	130640.2
21	129918.1061
22	129300.5257
23	128823.0257
24	128269.265
25	127702.7111
26	127272.235
27	126851.7944
28	126300.5409
29	125881.3844
30	125555.5491
31	125299.224
32	124978.1691
33	124740.9309
34	124478.7438
35	124175.246
36	123907.2543
37	123690.782
38	123487.2897
39	123233.3641
40	123005.6077
41	122720.6779
42	122541.3505
43	122365.889
44	122175.4353
45	121913.3469
46	121724.6528
47	121549.9532
48	121410.8458
49	121304.3919
50	121166.6869
51	121038.3254
52	120914.3728
53	120792.0822
54	120665.1113
55	120613.1895
56	120532.4499
57	120377.0183
58	120290.0886
59	120130.9274
60	120014.0377
61	119865.8919
62	119748.3487
63	119694.9201
64	119545.8935
65	119460.331
66	119362.2273
67	119265.7492
68	119146.0112
69	119067.6202
70	118949.5493
71	118829.1594
72	118702.9566
73	118621.1742
74	118518.9256
75	118433.242
76	118364.2728
77	118287.2214
78	118210.29
79	118109.6132
80	118047.0246
81	117971.5743
82	117916.5137
83	117841.5838
84	117722.6349
85	117668.4037
86	117618.3665
87	117553.5656
88	117495.6914
89	117466.4476
90	117428.6124
91	117386.5262
92	117284.9666
93	117238.9132
94	117181.6902
95	117088.5474
96	117019.4521
97	116987.1531
98	116945.4798
99	116889.26
100	116868.7347
101	116780.8313
102	116744.1848
103	116698.6158
104	116626.6461
105	116591.7149
106	116553.6371
107	116523.6543
108	116487.9149
109	116436.3374
110	116372.9993
111	116346.6685
112	116295.7056
113	116241.3388
114	116190.3727
115	116114.8711
116	116065.8564
117	116032.4144
118	116008.3554
119	115946.4246
120	115897.5212
121	115878.8459
122	115842.0709
123	115788.4791
124	115720.5988
125	115687.3576
126	115644.3167
127	115593.9042
128	115565.1566
129	115533.8669
130	115508.917
131	115480.6198
132	115426.7592
133	115392.1099
134	115365.9196
135	115337.8165
136	115319.5156
137	115272.0705
138	115234.3636
139	115183.7299
140	115154.6804
141	115108.3763
142	115069.611
143	115033.9162
144	114991.5398
145	114957.8924
146	114937.4205
147	114914.3456
148	114864.2747
149	114835.056
150	114802.5232
151	114765.43
152	114732.9777
153	114711.0704
154	114686.8686
155	114665.1293
156	114635.7443
157	114609.4013
158	114573.5417
159	114552.7077
160	114521.9026
161	114494.337
162	114470.6653
163	114442.936
164	114425.7695
165	114403.3488
166	114376.6794
167	114351.1916
168	114330.301
169	114310.4977
170	114272.4703
171	114248.3625
172	114220.9621
173	114179.0686
174	114162.6674
175	114152.0134
176	114130.8716
177	114115.0535
178	114061.1054
179	114027.3711
180	114013.7293
181	113995.5073
182	113957.7541
183	113930.0423
184	113913.6982
185	113883.6168
186	113866.0416
187	113851.8321
188	113834.6511
189	113822.6556
190	113805.0605
191	113775.7416
192	113758.6061
193	113743.299
194	113729.873
195	113717.4035
196	113701.4648
197	113683.8871
198	113661.8538
199	113650.3616
200	113630.3142
201	113616.6338
202	113606.1384
203	113582.2608
204	113563.0258
205	113541.2779
206	113524.2299
207	113507.3105
208	113481.7479
209	113468.4376
210	113456.6879
211	113431.8101
212	113420.2527
213	113399.8646
214	113383.9095
215	113371.206
216	113351.7463
217	113339.6362
218	113325.7601
219	113300.4008
220	113283.6609
221	113269.7544
222	113254.8544
223	113241.8567
224	113223.5766
225	113218.5702
226	113200.3319
227	113181.9962
228	113169.2547
229	113154.6453
230	113137.3449
231	113129.6467
232	113110.5366
233	113097.4882
234	113089.7571
235	113077.4053
