iter	Passed	Remaining
0	5	2765
1	9	2449
2	14	2352
3	18	2329
4	23	2319
5	27	2251
6	31	2216
7	35	2174
8	39	2150
9	44	2163
10	48	2148
11	52	2148
12	57	2138
13	61	2140
14	65	2124
15	69	2116
16	74	2117
17	80	2149
18	85	2172
19	91	2196
20	95	2187
21	100	2177
22	105	2180
23	109	2163
24	113	2147
25	117	2141
26	121	2135
27	125	2123
28	130	2114
29	134	2105
30	138	2091
31	142	2078
32	146	2066
33	149	2055
34	154	2054
35	159	2049
36	162	2039
37	167	2031
38	171	2027
39	176	2027
40	180	2021
41	185	2018
42	189	2010
43	194	2013
44	198	2008
45	202	2001
46	207	1998
47	211	1990
48	215	1980
49	219	1978
50	224	1972
51	228	1965
52	232	1962
53	236	1956
54	240	1946
55	244	1935
56	247	1925
57	251	1918
58	255	1911
59	259	1905
60	263	1898
61	268	1895
62	272	1888
63	276	1880
64	280	1876
65	284	1872
66	288	1867
67	293	1867
68	297	1861
69	302	1857
70	306	1854
71	310	1848
72	314	1842
73	319	1837
74	323	1831
75	327	1825
76	330	1817
77	335	1813
78	339	1808
79	343	1802
80	347	1796
81	351	1792
82	355	1785
83	359	1779
84	363	1773
85	367	1769
86	371	1765
87	375	1759
88	379	1752
89	383	1748
90	387	1741
91	391	1735
92	395	1730
93	399	1725
94	403	1721
95	407	1716
96	412	1714
97	417	1712
98	421	1708
99	425	1703
100	429	1696
101	433	1693
102	437	1687
103	441	1682
104	445	1676
105	449	1671
106	453	1665
107	457	1660
108	461	1654
109	465	1649
110	469	1646
111	474	1642
112	478	1637
113	482	1633
114	487	1630
115	490	1624
116	494	1619
117	498	1614
118	503	1612
119	507	1606
120	511	1601
121	515	1596
122	519	1593
123	524	1589
124	528	1584
125	532	1581
126	536	1576
127	540	1571
128	544	1566
129	548	1562
130	552	1557
131	556	1552
132	561	1548
133	566	1547
134	570	1543
135	574	1538
136	579	1534
137	583	1531
138	588	1527
139	592	1523
140	597	1520
141	601	1517
142	605	1512
143	610	1508
144	614	1505
145	619	1502
146	623	1497
147	628	1493
148	632	1490
149	636	1485
150	640	1481
151	645	1477
152	649	1472
153	653	1467
154	656	1462
155	661	1457
156	665	1454
157	669	1449
158	673	1444
159	677	1440
160	681	1435
161	685	1430
162	689	1425
163	693	1420
164	697	1416
165	701	1412
166	706	1408
167	711	1405
168	715	1402
169	719	1397
170	723	1392
171	728	1389
172	732	1384
173	736	1379
174	740	1375
175	745	1373
176	750	1369
177	757	1370
178	766	1374
179	774	1376
180	780	1374
181	785	1371
182	789	1368
183	795	1365
184	799	1362
185	804	1358
186	810	1356
187	815	1353
188	820	1349
189	824	1345
190	829	1342
191	834	1338
192	839	1335
193	844	1332
194	849	1328
195	853	1323
196	859	1321
197	864	1318
198	868	1314
199	873	1310
200	878	1306
201	882	1302
202	887	1298
203	892	1295
204	898	1292
205	903	1288
206	908	1285
207	913	1282
208	918	1278
209	923	1274
210	928	1271
211	932	1267
212	936	1262
213	941	1258
214	946	1254
215	950	1250
216	956	1246
217	961	1243
218	965	1239
219	971	1235
220	975	1231
221	980	1228
222	985	1224
223	990	1220
224	995	1216
225	999	1212
226	1008	1212
227	1015	1211
228	1022	1209
229	1028	1207
230	1033	1203
231	1039	1200
232	1044	1196
233	1049	1192
234	1054	1189
235	1059	1184
236	1063	1180
237	1068	1176
238	1074	1173
239	1080	1170
240	1085	1166
241	1090	1162
242	1095	1158
243	1100	1154
244	1105	1150
245	1110	1146
246	1115	1142
247	1120	1138
248	1126	1135
249	1131	1131
250	1135	1126
251	1141	1122
252	1146	1119
253	1151	1114
254	1156	1111
255	1161	1107
256	1165	1102
257	1171	1098
258	1176	1094
259	1181	1090
260	1186	1086
261	1191	1082
262	1196	1078
263	1201	1073
264	1206	1069
265	1211	1065
266	1215	1060
267	1220	1056
268	1225	1052
269	1229	1047
270	1235	1043
271	1240	1039
272	1245	1035
273	1249	1030
274	1254	1026
275	1259	1021
276	1263	1017
277	1268	1012
278	1273	1008
279	1277	1003
280	1282	999
281	1286	994
282	1291	990
283	1296	986
284	1301	981
285	1307	977
286	1311	973
287	1316	968
288	1321	964
289	1325	959
290	1329	954
291	1334	950
292	1339	946
293	1343	941
294	1348	937
295	1353	932
296	1358	928
297	1362	923
298	1367	919
299	1370	913
300	1374	908
301	1379	904
302	1384	900
303	1389	895
304	1393	890
305	1398	886
306	1402	881
307	1407	877
308	1411	872
309	1416	868
310	1421	863
311	1425	859
312	1430	854
313	1434	850
314	1439	845
315	1444	840
316	1450	837
317	1454	832
318	1459	828
319	1463	823
320	1467	818
321	1472	813
322	1476	809
323	1481	804
324	1486	800
325	1490	795
326	1495	790
327	1499	786
328	1504	781
329	1508	777
330	1513	772
331	1518	768
332	1523	763
333	1527	759
334	1532	754
335	1536	750
336	1541	745
337	1545	740
338	1550	736
339	1554	731
340	1559	727
341	1564	722
342	1569	718
343	1573	713
344	1578	709
345	1583	704
